title,genres,mood
Kicking and Screaming (1995),Comedy|Drama,happy
"Misérables, Les (1995)",Drama|War,sad
Bed of Roses (1996),Drama|Romance,sad
Big Bully (1996),Comedy|Drama,happy
Screamers (1995),Action|Sci-Fi|Thriller,energetic
Nico Icon (1995),Documentary,calm
"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,energetic
"Juror, The (1996)",Drama|Thriller,sad
"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,sad
Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,sad
Antonia's Line (Antonia) (1995),Comedy|Drama,happy
Once Upon a Time... When We Were Colored (1995),Drama|Romance,sad
Angels and Insects (1995),Drama|Romance,sad
White Squall (1996),Action|Adventure|Drama,energetic
Dunston Checks In (1996),Children|Comedy,happy
Black Sheep (1996),Comedy,happy
Nick of Time (1995),Action|Thriller,energetic
Mary Reilly (1996),Drama|Horror|Thriller,sad
Vampire in Brooklyn (1995),Comedy|Horror|Romance,happy
Beautiful Girls (1996),Comedy|Drama|Romance,happy
Broken Arrow (1996),Action|Adventure|Thriller,energetic
In the Bleak Midwinter (1995),Comedy|Drama,happy
"Hate (Haine, La) (1995)",Crime|Drama,sad
Heidi Fleiss: Hollywood Madam (1995),Documentary,calm
City Hall (1996),Drama|Thriller,sad
Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,excited
Mr. Wrong (1996),Comedy,happy
Unforgettable (1996),Mystery|Sci-Fi|Thriller,tense
Happy Gilmore (1996),Comedy,happy
"Bridges of Madison County, The (1995)",Drama|Romance,sad
Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,happy
Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,excited
Catwalk (1996),Documentary,calm
Braveheart (1995),Action|Drama|War,energetic
Taxi Driver (1976),Crime|Drama|Thriller,sad
Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,energetic
Before and After (1996),Drama|Mystery,sad
Anne Frank Remembered (1995),Documentary,calm
"Young Poisoner's Handbook, The (1995)",Crime|Drama,sad
If Lucy Fell (1996),Comedy|Romance,happy
"Steal Big, Steal Little (1995)",Comedy,happy
"Boys of St. Vincent, The (1992)",Drama,sad
Boomerang (1992),Comedy|Romance,happy
Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,sad
Flirting With Disaster (1996),Comedy,happy
"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,excited
Jupiter's Wife (1994),Documentary,calm
Pie in the Sky (1996),Comedy|Romance,happy
Jade (1995),Thriller,tense
Down Periscope (1996),Comedy,happy
Man of the Year (1995),Documentary,calm
Up Close and Personal (1996),Drama|Romance,sad
"Birdcage, The (1996)",Comedy,happy
"Brothers McMullen, The (1995)",Comedy,happy
Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,energetic
"Amazing Panda Adventure, The (1995)",Adventure|Children,excited
"Basketball Diaries, The (1995)",Drama,sad
"Awfully Big Adventure, An (1995)",Drama,sad
Amateur (1994),Crime|Drama|Thriller,sad
Apollo 13 (1995),Adventure|Drama|IMAX,excited
Rob Roy (1995),Action|Drama|Romance|War,energetic
"Addiction, The (1995)",Drama|Horror,sad
Batman Forever (1995),Action|Adventure|Comedy|Crime,energetic
Beauty of the Day (Belle de jour) (1967),Drama,sad
Beyond Rangoon (1995),Adventure|Drama|War,excited
Blue in the Face (1995),Comedy|Drama,happy
Canadian Bacon (1995),Comedy|War,happy
Casper (1995),Adventure|Children,excited
Clockers (1995),Crime|Drama|Mystery,sad
Congo (1995),Action|Adventure|Mystery|Sci-Fi,energetic
Crimson Tide (1995),Drama|Thriller|War,sad
Crumb (1994),Documentary,calm
Desperado (1995),Action|Romance|Western,energetic
Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,tense
Die Hard: With a Vengeance (1995),Action|Crime|Thriller,energetic
"Doom Generation, The (1995)",Comedy|Crime|Drama,happy
First Knight (1995),Action|Drama|Romance,energetic
Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,excited
Hackers (1995),Action|Adventure|Crime|Thriller,energetic
Jeffrey (1995),Comedy|Drama,happy
Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,energetic
Judge Dredd (1995),Action|Crime|Sci-Fi,energetic
Jury Duty (1995),Comedy,happy
Kids (1995),Drama,sad
Living in Oblivion (1995),Comedy,happy
Lord of Illusions (1995),Horror,dark
Love & Human Remains (1993),Comedy|Drama,happy
Mad Love (1995),Drama|Romance,sad
Mallrats (1995),Comedy|Romance,happy
Mighty Morphin Power Rangers: The Movie (1995),Action|Children,energetic
Mute Witness (1994),Comedy|Horror|Thriller,happy
Nadja (1994),Drama,sad
"Net, The (1995)",Action|Crime|Thriller,energetic
Nine Months (1995),Comedy|Romance,happy
Party Girl (1995),Comedy,happy
"Prophecy, The (1995)",Fantasy|Horror|Mystery,dark
Reckless (1995),Comedy|Fantasy,happy
Safe (1995),Thriller,tense
"Scarlet Letter, The (1995)",Drama|Romance,sad
Showgirls (1995),Drama,sad
Smoke (1995),Comedy|Drama,happy
Something to Talk About (1995),Comedy|Drama|Romance,happy
Species (1995),Horror|Sci-Fi,dark
Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,energetic
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,sad
Three Wishes (1995),Drama|Fantasy,sad
Total Eclipse (1995),Drama|Romance,sad
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,happy
Under Siege 2: Dark Territory (1995),Action,energetic
Unstrung Heroes (1995),Comedy|Drama,happy
Unzipped (1995),Documentary,calm
"Walk in the Clouds, A (1995)",Drama|Romance,sad
Waterworld (1995),Action|Adventure|Sci-Fi,energetic
White Man's Burden (1995),Drama,sad
Wild Bill (1995),Western,calm
"Browning Version, The (1994)",Drama,sad
Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,excited
Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,sad
Before the Rain (Pred dozhdot) (1994),Drama|War,sad
Before Sunrise (1995),Drama|Romance,sad
Billy Madison (1995),Comedy,happy
"Babysitter, The (1995)",Drama|Thriller,sad
Boys on the Side (1995),Comedy|Drama,happy
"Cure, The (1995)",Drama,sad
Castle Freak (1995),Horror,dark
Circle of Friends (1995),Drama|Romance,sad
Clerks (1994),Comedy,happy
Don Juan DeMarco (1995),Comedy|Drama|Romance,happy
Disclosure (1994),Drama|Thriller,sad
Drop Zone (1994),Action|Thriller,energetic
Destiny Turns on the Radio (1995),Comedy,happy
Death and the Maiden (1994),Drama|Thriller,sad
Dolores Claiborne (1995),Drama|Thriller,sad
Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,excited
Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,happy
Exotica (1994),Drama,sad
Exit to Eden (1994),Comedy,happy
Ed Wood (1994),Comedy|Drama,happy
French Kiss (1995),Action|Comedy|Romance,energetic
Forget Paris (1995),Comedy|Romance,happy
Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,excited
"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,happy
Hideaway (1995),Thriller,tense
Fluke (1995),Children|Drama,sad
Farinelli: il castrato (1994),Drama|Musical,sad
Gordy (1995),Children|Comedy|Fantasy,happy
Hoop Dreams (1994),Documentary,calm
Heavenly Creatures (1994),Crime|Drama,sad
Houseguest (1994),Comedy,happy
Immortal Beloved (1994),Drama|Romance,sad
Heavyweights (Heavy Weights) (1995),Children|Comedy,happy
"Hunted, The (1995)",Action,energetic
I.Q. (1994),Comedy|Romance,happy
Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,sad
Jefferson in Paris (1995),Drama,sad
"Jerky Boys, The (1995)",Comedy,happy
Junior (1994),Comedy|Sci-Fi,happy
Just Cause (1995),Mystery|Thriller,tense
"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,excited
Kiss of Death (1995),Crime|Drama|Thriller,sad
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,energetic
Little Women (1994),Drama,sad
"Little Princess, A (1995)",Children|Drama,sad
Ladybird Ladybird (1994),Drama,sad
Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,sad
Legends of the Fall (1994),Drama|Romance|War|Western,sad
Major Payne (1995),Comedy,happy
My Crazy Life (Mi vida loca) (1993),Drama,sad
Love Affair (1994),Drama|Romance,sad
Losing Isaiah (1995),Drama,sad
"Madness of King George, The (1994)",Comedy|Drama,happy
Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,sad
Man of the House (1995),Comedy,happy
Mixed Nuts (1994),Comedy,happy
Milk Money (1994),Comedy|Romance,happy
Miracle on 34th Street (1994),Drama,sad
Miami Rhapsody (1995),Comedy,happy
My Family (1995),Drama,sad
Murder in the First (1995),Drama|Thriller,sad
Nobody's Fool (1994),Comedy|Drama|Romance,happy
Nell (1994),Drama,sad
New Jersey Drive (1995),Crime|Drama,sad
New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,energetic
Beyond Bedlam (1993),Drama|Horror,sad
Nina Takes a Lover (1994),Comedy|Romance,happy
Natural Born Killers (1994),Action|Crime|Thriller,energetic
Only You (1994),Comedy|Romance,happy
Once Were Warriors (1994),Crime|Drama,sad
Poison Ivy II (1996),Drama|Thriller,sad
Outbreak (1995),Action|Drama|Sci-Fi|Thriller,energetic
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,energetic
"Perez Family, The (1995)",Comedy|Romance,happy
"Pyromaniac's Love Story, A (1995)",Comedy|Romance,happy
Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,happy
Pushing Hands (Tui shou) (1992),Drama,sad
Priest (1994),Drama,sad
Quiz Show (1994),Drama,sad
Picture Bride (Bijo photo) (1994),Drama|Romance,sad
"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,sad
"Quick and the Dead, The (1995)",Action|Thriller|Western,energetic
Roommates (1995),Comedy|Drama,happy
Ready to Wear (Pret-A-Porter) (1994),Comedy,happy
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,sad
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,sad
Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,happy
Rent-a-Kid (1995),Comedy,happy
Relative Fear (1994),Horror|Thriller,dark
Stuart Saves His Family (1995),Comedy,happy
"Swan Princess, The (1994)",Animation|Children,calm
"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,sad
"Specialist, The (1994)",Action|Drama|Thriller,energetic
Stargate (1994),Action|Adventure|Sci-Fi,energetic
"Santa Clause, The (1994)",Comedy|Drama|Fantasy,happy
"Shawshank Redemption, The (1994)",Crime|Drama,sad
Shallow Grave (1994),Comedy|Drama|Thriller,happy
Suture (1993),Film-Noir|Thriller,tense
Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,sad
Swimming with Sharks (1995),Comedy|Drama,happy
"Sum of Us, The (1994)",Comedy|Drama,happy
National Lampoon's Senior Trip (1995),Comedy,happy
To Live (Huozhe) (1994),Drama,sad
Tank Girl (1995),Action|Comedy|Sci-Fi,energetic
Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,dark
Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,excited
Tales from the Hood (1995),Action|Crime|Horror,energetic
Tom & Viv (1994),Drama,sad
Village of the Damned (1995),Horror|Sci-Fi,dark
Tommy Boy (1995),Comedy,happy
Vanya on 42nd Street (1994),Drama,sad
Underneath (1995),Mystery|Thriller,tense
"Walking Dead, The (1995)",Drama|War,sad
What's Eating Gilbert Grape (1993),Drama,sad
Virtuosity (1995),Action|Sci-Fi|Thriller,energetic
While You Were Sleeping (1995),Comedy|Romance,happy
"War, The (1994)",Adventure|Drama|War,excited
Double Happiness (1994),Drama,sad
Muriel's Wedding (1994),Comedy,happy
"Baby-Sitters Club, The (1995)",Children,calm
Ace Ventura: Pet Detective (1994),Comedy,happy
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,happy
Backbeat (1993),Drama|Musical,sad
Bitter Moon (1992),Drama|Film-Noir|Romance,sad
Bullets Over Broadway (1994),Comedy,happy
Clear and Present Danger (1994),Action|Crime|Drama|Thriller,energetic
"Client, The (1994)",Drama|Mystery|Thriller,sad
"Corrina, Corrina (1994)",Comedy|Drama|Romance,happy
Crooklyn (1994),Comedy|Drama,happy
"Crow, The (1994)",Action|Crime|Fantasy|Thriller,energetic
Cobb (1994),Drama,sad
"Flintstones, The (1994)",Children|Comedy|Fantasy,happy
Forrest Gump (1994),Comedy|Drama|Romance|War,happy
Four Weddings and a Funeral (1994),Comedy|Romance,happy
Higher Learning (1995),Drama,sad
I Like It Like That (1994),Comedy|Drama|Romance,happy
I Love Trouble (1994),Action|Comedy,energetic
It Could Happen to You (1994),Comedy|Drama|Romance,happy
"Jungle Book, The (1994)",Adventure|Children|Romance,excited
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,calm
"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,excited
Little Buddha (1993),Drama,sad
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,sad
"Mask, The (1994)",Action|Comedy|Crime|Fantasy,energetic
Maverick (1994),Adventure|Comedy|Western,excited
Mrs. Parker and the Vicious Circle (1994),Drama,sad
Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,energetic
"Paper, The (1994)",Comedy|Drama,happy
Reality Bites (1994),Comedy|Drama|Romance,happy
Red Rock West (1992),Thriller,tense
Richie Rich (1994),Children|Comedy,happy
"River Wild, The (1994)",Action|Thriller,energetic
Speed (1994),Action|Romance|Thriller,energetic
Speechless (1994),Comedy|Romance,happy
Timecop (1994),Action|Sci-Fi|Thriller,energetic
True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,energetic
When a Man Loves a Woman (1994),Drama|Romance,sad
Wolf (1994),Drama|Horror|Romance|Thriller,sad
Wyatt Earp (1994),Western,calm
Bad Company (1995),Action|Crime|Drama,energetic
"Man of No Importance, A (1994)",Drama,sad
S.F.W. (1994),Drama,sad
"Low Down Dirty Shame, A (1994)",Action|Comedy,energetic
Boys Life (1995),Drama,sad
"Colonel Chabert, Le (1994)",Drama|Romance|War,sad
Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,energetic
Jason's Lyric (1994),Crime|Drama,sad
Street Fighter (1994),Action|Adventure|Fantasy,energetic
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,energetic
Federal Hill (1994),Drama,sad
In the Mouth of Madness (1995),Horror|Thriller,dark
8 Seconds (1994),Drama,sad
Above the Rim (1994),Crime|Drama,sad
Addams Family Values (1993),Children|Comedy|Fantasy,happy
"Age of Innocence, The (1993)",Drama,sad
Airheads (1994),Comedy,happy
"Air Up There, The (1994)",Comedy,happy
Another Stakeout (1993),Comedy|Thriller,happy
Bad Girls (1994),Western,calm
Barcelona (1994),Comedy|Romance,happy
Being Human (1993),Drama,sad
"Beverly Hillbillies, The (1993)",Comedy,happy
Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,energetic
Black Beauty (1994),Adventure|Children|Drama,excited
Blink (1994),Thriller,tense
Blown Away (1994),Action|Thriller,energetic
Blue Chips (1994),Drama,sad
Blue Sky (1994),Drama|Romance,sad
Body Snatchers (1993),Horror|Sci-Fi|Thriller,dark
Boxing Helena (1993),Drama|Mystery|Romance|Thriller,sad
"Bronx Tale, A (1993)",Drama,sad
Cabin Boy (1994),Comedy,happy
Calendar Girl (1993),Comedy|Drama,happy
Carlito's Way (1993),Crime|Drama,sad
City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,excited
Clean Slate (1994),Comedy,happy
Cliffhanger (1993),Action|Adventure|Thriller,energetic
Coneheads (1993),Comedy|Sci-Fi,happy
Color of Night (1994),Drama|Thriller,sad
Cops and Robbersons (1994),Comedy,happy
"Cowboy Way, The (1994)",Action|Comedy|Drama,energetic
Dave (1993),Comedy|Romance,happy
Dazed and Confused (1993),Comedy,happy
Demolition Man (1993),Action|Adventure|Sci-Fi,energetic
Even Cowgirls Get the Blues (1993),Comedy|Romance,happy
Fatal Instinct (1993),Comedy,happy
Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,sad
Fearless (1993),Drama,sad
Fear of a Black Hat (1994),Comedy,happy
With Honors (1994),Comedy|Drama,happy
Flesh and Bone (1993),Drama|Mystery|Romance,sad
Widows' Peak (1994),Drama,sad
For Love or Money (1993),Comedy|Romance,happy
"Firm, The (1993)",Drama|Thriller,sad
Free Willy (1993),Adventure|Children|Drama,excited
Fresh (1994),Crime|Drama|Thriller,sad
"Fugitive, The (1993)",Thriller,tense
Geronimo: An American Legend (1993),Drama|Western,sad
"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,energetic
Getting Even with Dad (1994),Comedy,happy
Go Fish (1994),Drama|Romance,sad
Hard Target (1993),Action|Adventure|Crime|Thriller,energetic
Hot Shots! Part Deux (1993),Action|Comedy|War,energetic
Live Nude Girls (1995),Comedy,happy
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,happy
"House of the Spirits, The (1993)",Drama|Romance,sad
House Party 3 (1994),Comedy,happy
"Hudsucker Proxy, The (1994)",Comedy,happy
I'll Do Anything (1994),Comedy|Drama,happy
In the Army Now (1994),Comedy|War,happy
In the Line of Fire (1993),Action|Thriller,energetic
In the Name of the Father (1993),Drama,sad
"Inkwell, The (1994)",Comedy|Drama,happy
What's Love Got to Do with It? (1993),Drama|Musical,sad
Jimmy Hollywood (1994),Comedy|Crime|Drama,happy
Judgment Night (1993),Action|Crime|Thriller,energetic
Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,energetic
Kalifornia (1993),Drama|Thriller,sad
Killing Zoe (1994),Crime|Drama|Thriller,sad
Lassie (1994),Adventure|Children,excited
Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,energetic
Life with Mikey (1993),Comedy,happy
Lightning Jack (1994),Comedy|Western,happy
M. Butterfly (1993),Drama|Romance,sad
Made in America (1993),Comedy,happy
Malice (1993),Thriller,tense
"Man Without a Face, The (1993)",Drama,sad
Manhattan Murder Mystery (1993),Comedy|Mystery,happy
Menace II Society (1993),Action|Crime|Drama,energetic
Executive Decision (1996),Action|Adventure|Thriller,energetic
In the Realm of the Senses (Ai no corrida) (1976),Drama,sad
What Happened Was... (1994),Comedy|Drama|Romance|Thriller,happy
Much Ado About Nothing (1993),Comedy|Romance,happy
Mr. Wonderful (1993),Comedy|Romance,happy
Mrs. Doubtfire (1993),Comedy|Drama,happy
Naked (1993),Drama,sad
"Next Karate Kid, The (1994)",Action|Children|Romance,energetic
No Escape (1994),Action|Drama|Sci-Fi,energetic
North (1994),Comedy,happy
Orlando (1992),Drama|Fantasy|Romance,sad
"Perfect World, A (1993)",Crime|Drama|Thriller,sad
Philadelphia (1993),Drama,sad
"Piano, The (1993)",Drama|Romance,sad
Poetic Justice (1993),Drama,sad
"Program, The (1993)",Action|Drama,energetic
"Puppet Masters, The (1994)",Horror|Sci-Fi,dark
Radioland Murders (1994),Comedy|Mystery|Romance,happy
"Ref, The (1994)",Comedy,happy
"Remains of the Day, The (1993)",Drama|Romance,sad
Renaissance Man (1994),Comedy|Drama,happy
Rising Sun (1993),Action|Drama|Mystery,energetic
"Road to Wellville, The (1994)",Comedy,happy
RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller,energetic
Robin Hood: Men in Tights (1993),Comedy,happy
Romeo Is Bleeding (1993),Crime|Thriller,tense
Romper Stomper (1992),Action|Drama,energetic
Ruby in Paradise (1993),Drama,sad
Rudy (1993),Drama,sad
"Savage Nights (Nuits fauves, Les) (1992)",Drama,sad
Schindler's List (1993),Drama|War,sad
"Scout, The (1994)",Comedy|Drama,happy
Searching for Bobby Fischer (1993),Drama,sad
"Secret Garden, The (1993)",Children|Drama,sad
Serial Mom (1994),Comedy|Crime|Horror,happy
"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery,energetic
Shadowlands (1993),Drama|Romance,sad
Short Cuts (1993),Drama,sad
"Simple Twist of Fate, A (1994)",Drama,sad
Sirens (1994),Drama,sad
Six Degrees of Separation (1993),Drama,sad
Sleepless in Seattle (1993),Comedy|Drama|Romance,happy
Sliver (1993),Thriller,tense
Blade Runner (1982),Action|Sci-Fi|Thriller,energetic
Son in Law (1993),Comedy|Drama|Romance,happy
So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,happy
Striking Distance (1993),Action|Crime,energetic
Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,energetic
Surviving the Game (1994),Action|Adventure|Thriller,energetic
Terminal Velocity (1994),Action|Mystery|Thriller,energetic
Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical,sad
Threesome (1994),Comedy|Romance,happy
"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,calm
"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,energetic
Tombstone (1993),Action|Drama|Western,energetic
True Romance (1993),Crime|Thriller,tense
"War Room, The (1993)",Documentary,calm
"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy,energetic
Welcome to the Dollhouse (1995),Comedy|Drama,happy
Germinal (1993),Drama|Romance,sad
Chasers (1994),Comedy,happy
Kika (1993),Comedy|Drama,happy
Bhaji on the Beach (1993),Comedy|Drama,happy
Little Big League (1994),Comedy|Drama,happy
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,sad
Spanking the Monkey (1994),Comedy|Drama,happy
"Little Rascals, The (1994)",Children|Comedy,happy
Andre (1994),Adventure|Children|Drama,excited
"Escort, The (Scorta, La) (1993)",Crime|Thriller,tense
Princess Caraboo (1994),Drama,sad
"Celluloid Closet, The (1995)",Documentary,calm
Dear Diary (Caro Diario) (1994),Comedy|Drama,happy
"Brady Bunch Movie, The (1995)",Comedy,happy
Home Alone (1990),Children|Comedy,happy
Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,happy
Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,excited
Terminator 2: Judgment Day (1991),Action|Sci-Fi,energetic
Dances with Wolves (1990),Adventure|Drama|Western,excited
Batman (1989),Action|Crime|Thriller,energetic
"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,dark
Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,sad
Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,romantic
Pinocchio (1940),Animation|Children|Fantasy|Musical,calm
Pretty Woman (1990),Comedy|Romance,happy
"Wild Bunch, The (1969)",Adventure|Western,excited
Love and a .45 (1994),Action|Comedy|Crime,energetic
"Great Day in Harlem, A (1994)",Documentary,calm
One Fine Day (1996),Drama|Romance,sad
Candyman: Farewell to the Flesh (1995),Fantasy|Horror,dark
Fargo (1996),Comedy|Crime|Drama|Thriller,happy
Homeward Bound II: Lost in San Francisco (1996),Adventure|Children,excited
Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi,energetic
Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi,energetic
"Pallbearer, The (1996)",Comedy,happy
Jane Eyre (1996),Drama|Romance,sad
Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama,happy
"Aristocats, The (1970)",Animation|Children,calm
"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy|Drama,happy
Two Much (1995),Comedy|Romance,happy
Ed (1996),Comedy,happy
"Thin Line Between Love and Hate, A (1996)",Comedy,happy
"Last Supper, The (1995)",Drama|Thriller,sad
Primal Fear (1996),Crime|Drama|Mystery|Thriller,sad
All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance,excited
Land and Freedom (Tierra y libertad) (1995),Drama|War,sad
Denise Calls Up (1995),Comedy,happy
Theodore Rex (1995),Comedy,happy
"Family Thing, A (1996)",Comedy|Drama,happy
Frisk (1995),Drama,sad
Sgt. Bilko (1996),Comedy,happy
Jack and Sarah (1995),Romance,romantic
Girl 6 (1996),Comedy|Drama,happy
Diabolique (1996),Drama|Thriller,sad
